Name,Mass (g) (not sexed),Source,Sex,Suborder,Handicap,Family,Genus,Species,Shi_match,r_humerus,Landmarked,l_humerus,Landmarked,r_radius,Landmarked,l_radius,Landmarked,r_tibia,Landmarked,l_tibia,Landmarked,r_femur,Landmarked,l_femur,Landmarked,Handwing,skull,Sternum,Landmarked,Verified,Pelvis,Landmarked,Verified,Sex,Lifestage,Notes,Author,kV,uA,um
Artibeus_phaeotis_AMNH_278391,11.6,https://eol.org/pages/327361/data,,,,Phyllostomidae,Artibeus,phaeotis,Artibeus_phaeotis,,,,,,,,,,,,,,,,,,,,,,,,,,,Unworkable threshold. ,Andrew,,,
Artibeus_jamaicensis_AMNH_279493,42.2,https://eol.org/pages/327863/data,,,,Phyllostomidae,Artibeus,jamaicensis,Artibeus_jamaicensis,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,broken,,,,,,?,adult,I have to use the maximum threshold. Minor stitching artifacts,Andrew,140,140,27.42521
Natalus_stramineus_AMNH_274125,7,"Walker’s mammals of the world, VI",,,,Natalidae,Natalus,stramineus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing pixels render both femur bones unuseable. ,Andrew,,,
Myzopoda_schliemanni_AMNH_277725,,,,,,Myzopodidae,Myzopoda,schliemanni,Myzopoda_schliemanni,,,,,,,,,,,,,,,,,,,,,,,,,,,No humerus bones. Significant stitching artifact crosses both radius bones. Bones rotated during scan. ,Andrew,,,
Erophylla_bombifrons_AMNH_275483,16.3,https://eol.org/pages/11019834/data,,,"(bent final phalanx, second digit, right hand; healed break?) Major assymetry between first metacarpal of third digit; right side is distorted",Phyllostomidae,Erophylla,bombifrons,Erophylla_bombifrons,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,1,Yes,Yes; I moved some landmarks by a small amount,,,,M,adult,Stitching artifact crosses both radius bones and the left humerus. I have not assessed it as critically limiting. Some double-imaging of right radius. I have attempted to compensate. Stitching artifacts and rotations on left hand side too large to compensate for. ,Andrew,130,130,30.1301
Hesperoptenus_blanfordi_AMNH_234188,,,,,,Vespertilionidae,Hesperoptenus,blanfordi,Hesperoptenus_blanfordi,,,,,broken,,,,,,,,,,,,,,,,,,,,,,Elbow caps. Distinctive sesamoids on knees. Stitching artifact crosses the left radius.,Andrew,,,
Leptonycteris_yerbabuenae_AMNH_249086,24,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Leptonycteris,yerbabuenae,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stitching artifact crosses both wings. Displacement is probably considerable enough to preclude segmentation. ,Andrew,,,
Mimon_cozumelae_AMNH_279490,39.5,https://eol.org/pages/4438808/data,,,,Phyllostomidae,Mimon,cozumelae,Mimon_cozumelae,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes; I replaced the left and right Xiphoid curves,,,,?,adult,,Andrew,140,140,29.46034
Mormoops_blainvillii_CUMV_20843,15,"Walker’s mammals of the world, VI",,,,Mormoopidae,Mormoops,blainvillii,Mormoops_blainvillii,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,,Andrew,85,200,20.038
Mystacina_tuberculata_MVZ_173919,13.5,"Walker’s mammals of the world, VI",,,,Mystacinidae,Mystacina,tuberculata,Mystacina_tuberculata,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,broken,,,broken,,,F,adult,The chirality of this scan is reversed (I have not corrected it). This bat burrows,Andrew,?,?,35.9111194611791
Cynopterus_sphinx_CUMV_20439,62.5,"Walker’s mammals of the world, VI",,,,Pteropodidae,Cynopterus,sphinx,Cynopterus_sphinx,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,Yes; I fixed a saving error and the sternal landmarks were not ‘pack and go’d,open; landmarked; right,,,F,adult,Pregnant,Andrew,100,200,40.076
Craseonycteris_thonglongyai_USNM_528306,2,"Walker’s mammals of the world, VI",,,,Craseonycteridae,Craseonycteris,thonglongyai,Craseonycteris_thonglongyai,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,Yes,,,,M,subadult,Some small stitching artifacts evident. Very strange sternum appears to wrap all the way round to spine ,Andrew,?,?,0.02
Glossophaga_soricina_CUMV_19730,10.5,,,,,Phyllostomidae,Glossophaga,soricina,Glossophaga_soricina,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes: I changed the rib articulations; No associated avizo project,,,,?,adult,sternum landmarks inside a .hx file called untitled in andrew_backup on the NAS,Tram,100,200,40.076
Chironax_melanocephalus_CUMV_22540,,,,,,Pteropodidae,Chironax,melanocephalus,Chironax_melanocephalus,,,1,,,,1,,,,,,,,,,,,,,,,,,,subadult,Unfused epiphyses on the proximal tibia; this might be a sub-adult or juvenile; segmentation prohibitively difficult ,Andrew,,,
Pipistrellus_subflavus_CUMV_15566,5.8,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Pipistrellus,subflavus,Pipistrellus_subflavus,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,broken,,,to do ,,,F,adult,Voxel size1000 times too large (landmarks corrected),Andrew,100,200,40.076
